ABB [GOLD] nf=26 down_streak=0 vol=0.8x sret=+1.8% rsi=52 distSMA200=-15% distHigh60=-1% atr=3.1% | close10d[5451,5488,5334,5398,5288,5440,5587,5636,5635,5735] vol5d[0.8x,1.6x,1.5x,0.9x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_15pc_20d:n_sub_3_range_7d<=2.5 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:n_sub_3_range_7d<=3.5 & n_sub_75v_20d<=13.5 & slope_sma_50<=1.67 & weekly_close_loc>0.59 | hit_10pc_20d:dist_high_252<=-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8
ACUTAAS [ENTERPRISE-Dryup] nf=39 down_streak=3 vol=1.1x sret=-1.5% rsi=55 distSMA200=+16% distHigh60=-11% atr=5.0% | close10d[1162,1202,1131,1146,1163,1161,1184,1173,1156,1139] vol5d[0.5x,0.9x,0.5x,0.7x,1.1x] | patterns: hit_10pc_20d:atr_20_pct>3.37 & atr_5_vs_20<=1.02 & dist_high_120<=-7.21 & weekly_range_pct>8.57 | hit_25pc_30d:atr_20_pct>4.48 & atr_5_vs_20>0.56 & dist_sma_200<=63.95 & rs_sector_60d<=0.72 | hit_15pc_20d:atr_20_pct>2.47 & rs_sector_60d<=-2.23 & weekly_close_vs_sma20>-0.6 & weekly_range_pct>7.74 | hit_25pc_30d:atr_20_pct>4.36 & rs_market_20d<=7.24 & weekly_range_pct>7.21 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=48.46 & n_sub_3_range_7d<=1.5 & weekly_close_loc<=0.7
ADANIGREEN [GOLD-baseline] nf=76 down_streak=0 vol=1.1x sret=+0.1% rsi=50 distSMA200=-26% distHigh60=-4% atr=4.1% | close10d[905,966,923,917,880,879,941,958,967,968] vol5d[0.8x,1.5x,1.0x,0.9x,1.1x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>3.78 & weekly_close_loc>0.63 & weekly_close_vs_sma20<=9.42 | hit_15pc_20d:n_sub_3_range_7d<=2.5 & weekly_close_loc>0.71
ADANIPOWER [ENTERPRISE-Dryup] nf=25 down_streak=0 vol=0.6x sret=+0.6% rsi=41 distSMA200=-4% distHigh60=-7% atr=4.1% | close10d[105,111,107,106,104,102,109,108,108,109] vol5d[0.7x,1.0x,0.9x,0.6x,0.6x] | patterns: hit_15pc_20d:atr_20_pct>3.6 & dist_high_252<=-35.35 & rs_market_20d<=1.36 & weekly_close_vs_sma20<=9.42 | hit_10pc_20d:atr_20_pct>3.61 & dist_high_60<=-4.81 & weekly_close_loc>0.25 & weekly_close_vs_sma20>-0.6 | hit_25pc_30d:atr_20_pct>3.27 & dist_high_252<=-39.08 & weekly_close_vs_sma20<=21.67 | hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_15pc_20d:atr_20_pct>3.78 & dist_high_252<=-38.39 & weekly_close_loc<=0.53
AIIL [GOLD-baseline] nf=119 down_streak=0 vol=1.2x sret=+0.6% rsi=71 distSMA200=+30% distHigh60=-0% atr=4.7% | close10d[359,371,357,356,350,349,373,387,427,430] vol5d[0.4x,1.0x,4.6x,6.2x,1.2x] | patterns: hit_10pc_20d:atr_5_vs_20<=1.58 & weekly_close_loc>0.49 & weekly_range_pct>13.88 | hit_10pc_20d:atr_20_pct>2.23 & weekly_close_loc>0.55 & weekly_range_pct>13.3 | hit_10pc_20d:roc_60<=31.97 & weekly_close_loc>0.59 & weekly_close_vs_sma20>8.87 & weekly_range_pct>9.47 | hit_10pc_20d:rs_sector_20d>-6.57 & weekly_close_loc>0.55 & weekly_close_vs_sma20>9.15 & weekly_range_pct>9.62 | hit_10pc_20d:dist_sma_20>9.12 & weekly_close_loc>0.48 & weekly_range_pct>16.49
INDHOTEL [ENTERPRISE-Dryup] nf=26 down_streak=1 vol=0.7x sret=-0.8% rsi=39 distSMA200=+3% distHigh60=-11% atr=4.0% | close10d[799,799,751,763,748,717,767,759,768,762] vol5d[2.6x,2.0x,0.8x,0.6x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>3.79 & dist_sma_200>-1.47 & rs_market_20d<=4.6 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_15pc_20d:atr_20_pct>3.2 & dist_sma_200<=19.12 & weekly_close_loc>0.42 | hit_10pc_20d:atr_20_pct>3.42 & weekly_close_loc>0.5 & weekly_range_pct<=8.52
AJANTPHARM [GOLD] nf=20 down_streak=0 vol=1.5x sret=+0.5% rsi=37 distSMA200=-9% distHigh60=-10% atr=3.2% | close10d[2585,2587,2501,2498,2519,2538,2482,2593,2586,2599] vol5d[0.5x,1.9x,1.2x,1.1x,1.5x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41
AIAENG [ENTERPRISE-Dryup] nf=14 down_streak=0 vol=0.8x sret=+1.2% rsi=63 distSMA200=-11% distHigh60=-8% atr=2.5% | close10d[3104,3172,3124,3125,3120,3109,3246,3229,3264,3303] vol5d[0.3x,1.0x,0.3x,0.5x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:dist_high_252<=-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20>4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:roc_60>-14.78 & rs_sector_60d<=-15.62 & weekly_close_loc>0.66 & weekly_close_vs_sma20>-4.93
AFFLE [GOLD] nf=62 down_streak=1 vol=1.1x sret=-1.0% rsi=59 distSMA200=+5% distHigh60=-4% atr=3.1% | close10d[1598,1589,1534,1536,1534,1512,1587,1591,1680,1662] vol5d[0.6x,2.0x,0.8x,2.2x,1.1x] | patterns: hit_10pc_20d:rs_sector_20d<=-6.57 & weekly_close_loc>0.55 & weekly_range_pct>9.62 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:atr_20_pct>2.56 & roc_20<=29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89 | hit_10pc_20d:roc_60<=31.97 & weekly_close_loc>0.59 & weekly_close_vs_sma20<=8.87 & weekly_range_pct>9.47
ANGELONE [ENTERPRISE-Dryup] nf=76 down_streak=0 vol=0.5x sret=+0.8% rsi=54 distSMA200=+1% distHigh60=-1% atr=4.0% | close10d[232,239,230,238,233,233,249,249,255,257] vol5d[0.5x,0.8x,0.5x,0.8x,0.5x] | patterns: hit_10pc_20d:atr_20_pct>3.35 & close_loc<=0.39 & weekly_close_loc>0.64 & weekly_range_pct>8.51 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:atr_20_pct>2.56 & roc_20<=29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89 | hit_10pc_20d:atr_20_pct<=4.4 & weekly_close_loc>0.81 & weekly_close_vs_sma20>2.23 & weekly_range_pct>8.5
APLAPOLLO [GOLD-baseline] nf=13 down_streak=0 vol=1.3x sret=+1.8% rsi=77 distSMA200=+18% distHigh60=-0% atr=2.6% | close10d[1599,1618,1614,1663,1663,1656,1713,1725,1745,1776] vol5d[0.7x,1.5x,1.2x,1.4x,1.3x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252>-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:rs_market_60d<=81.89 & weekly_close_loc>0.37 & weekly_close_vs_sma20>9.42 & weekly_range_pct>4.76 | hit_10pc_20d:atr_20_pct>2.55 & slope_sma_50>1.01 & weekly_close_loc>0.43 & weekly_close_vs_sma20>8.43 | hit_10pc_20d:roc_60>12.78 & weekly_close_loc>0.65 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20>0.21 & weekly_close_loc>0.8
ATGL [ENTERPRISE-Dryup] nf=60 down_streak=0 vol=0.4x sret=+0.7% rsi=57 distSMA200=-6% distHigh60=-4% atr=3.7% | close10d[600,666,633,625,610,601,631,648,656,660] vol5d[0.8x,0.8x,1.0x,0.5x,0.4x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15 | hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44
AWL [GOLD] nf=35 down_streak=0 vol=0.8x sret=+0.1% rsi=39 distSMA200=-13% distHigh60=-8% atr=3.7% | close10d[269,274,258,262,254,253,263,263,267,267] vol5d[0.8x,1.3x,1.0x,1.0x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>3.43 & close_loc<=0.44 & weekly_close_loc>0.67 & weekly_range_pct<=11.61 | hit_10pc_20d:n_sub_3_range_7d<=3.5 & n_sub_75v_20d<=13.5 & slope_sma_50<=1.67 & weekly_close_loc>0.59 | hit_15pc_20d:atr_20_pct>3.42 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44
IDFCFIRSTB [ENTERPRISE-Dryup] nf=16 down_streak=0 vol=0.4x sret=+0.0% rsi=57 distSMA200=+5% distHigh60=-1% atr=3.2% | close10d[66,67,65,67,66,66,69,69,69,69] vol5d[0.6x,0.7x,0.5x,0.5x,0.4x] | patterns: hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:dist_high_252>-43.48 & dist_sma_200<=24.12 & rs_market_60d<=7.95 & weekly_close_vs_sma20>12.39 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71 | hit_15pc_20d:atr_20_pct>2.86 & rs_sector_60d<=31.83 & weekly_close_loc>0.7 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44
AEGISLOG [ENTERPRISE-Dryup] nf=30 down_streak=0 vol=0.6x sret=+1.7% rsi=73 distSMA200=+6% distHigh60=-12% atr=3.7% | close10d[774,792,785,790,798,796,817,813,814,828] vol5d[1.2x,0.5x,0.4x,1.1x,0.6x] | patterns: hit_10pc_20d:atr_20_pct>3.61 & dist_high_60<=-4.81 & weekly_close_loc>0.25 & weekly_close_vs_sma20>-0.6 | hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d>12.5 & weekly_close_loc>0.41 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=48.46 & n_sub_3_range_7d<=1.5 & weekly_close_loc<=0.7 | hit_15pc_20d:atr_20_pct>3.2 & dist_sma_200<=19.12 & weekly_close_loc>0.42
BANKINDIA [GOLD] nf=47 down_streak=0 vol=0.6x sret=+0.2% rsi=41 distSMA200=+5% distHigh60=-6% atr=3.7% | close10d[111,112,105,105,104,106,106,109,110,110] vol5d[1.1x,3.3x,2.1x,0.9x,0.6x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_15pc_20d:n_sub_3_range_7d<=2.5 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15
BAYERCROP [GOLD] nf=25 down_streak=0 vol=0.9x sret=+1.7% rsi=49 distSMA200=-13% distHigh60=-6% atr=3.0% | close10d[4678,4655,4687,4677,4615,4618,4774,4766,4885,4965] vol5d[0.4x,0.9x,1.7x,1.2x,0.9x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15 | hit_15pc_20d:atr_5_vs_20>0.92 & rs_sector_20d<=-2.8 & weekly_close_loc>0.73 & weekly_range_pct>6.25 | hit_10pc_20d:dist_high_252<=-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7
BEML [GOLD] nf=86 down_streak=0 vol=1.0x sret=+0.1% rsi=61 distSMA200=-6% distHigh60=-3% atr=4.0% | close10d[1601,1616,1555,1564,1507,1530,1601,1664,1695,1696] vol5d[1.0x,1.0x,2.3x,2.5x,1.0x] | patterns: hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:dist_high_10<=-2.52 & dist_high_252<=-15.6 & weekly_close_loc>0.5 & weekly_range_pct>7.5 | hit_10pc_20d:atr_20_pct>3.35 & close_loc>0.39 & weekly_close_loc>0.64 & weekly_range_pct>8.51 | hit_10pc_20d:atr_20_pct>2.56 & roc_20<=29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89
BHARTIHEXA [GOLD] nf=23 down_streak=3 vol=0.7x sret=-0.7% rsi=57 distSMA200=+22% distHigh60=-6% atr=4.2% | close10d[1702,1685,1692,1710,1730,1720,1758,1703,1699,1687] vol5d[0.4x,0.7x,0.7x,2.0x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>3.88 & weekly_close_vs_sma20<=20.64 & weekly_close_vs_sma20>13.7 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=48.46 & n_sub_3_range_7d<=1.5 & weekly_close_loc<=0.7 | hit_25pc_30d:atr_20_pct>3.76 & rs_sector_60d>22.45 & weekly_close_vs_sma20>12.55 | hit_25pc_30d:atr_20_pct>4.1 & roc_60>-3.72 | hit_10pc_20d:atr_20_pct>3.61 & rs_market_60d<=27.16 & rs_market_60d>-14.48 & slope_sma_20>-3.56
BIKAJI [ENTERPRISE-Dryup] nf=20 down_streak=0 vol=0.7x sret=+1.1% rsi=38 distSMA200=-7% distHigh60=-6% atr=3.2% | close10d[701,697,685,690,683,674,704,690,706,713] vol5d[0.7x,0.6x,0.8x,0.6x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d>3.56 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_15pc_20d:dist_high_252<=-15.59 & n_sub_2_5_range_7d<=2.5 & weekly_close_loc>0.74 | hit_15pc_20d:atr_20_pct>2.86 & rs_sector_60d<=31.83 & weekly_close_loc>0.7 & weekly_close_vs_sma20>3.06
ANANDRATHI [ENTERPRISE-Dryup] nf=21 down_streak=0 vol=1.0x sret=+0.4% rsi=56 distSMA200=-6% distHigh60=-16% atr=3.0% | close10d[1714,1746,1707,1698,1682,1704,1721,1760,1788,1794] vol5d[1.6x,0.6x,0.6x,0.6x,1.0x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_15pc_20d:atr_5_vs_20>0.92 & rs_sector_20d<=-2.8 & weekly_close_loc>0.73 & weekly_range_pct>6.25 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_15pc_20d:dist_high_252<=-15.59 & n_sub_2_5_range_7d<=2.5 & weekly_close_loc>0.74 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14
APTUS [GOLD-baseline] nf=11 down_streak=0 vol=1.9x sret=+1.8% rsi=46 distSMA200=+3% distHigh60=-4% atr=3.1% | close10d[320,325,317,320,325,315,322,320,322,328] vol5d[0.9x,1.2x,0.7x,0.7x,1.9x] | patterns: hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71 | hit_15pc_20d:atr_20_pct>2.86 & rs_sector_60d<=31.83 & weekly_close_loc>0.7 & weekly_close_vs_sma20>3.06
BLUESTARCO [ENTERPRISE-Dryup] nf=68 down_streak=0 vol=0.5x sret=+0.8% rsi=17 distSMA200=-18% distHigh60=-31% atr=5.0% | close10d[1671,1682,1690,1678,1608,1594,1624,1581,1559,1571] vol5d[0.9x,0.9x,0.7x,0.7x,0.5x] | patterns: hit_10pc_20d:atr_20_pct>4.48 & roc_60<=-7.88 & rs_sector_60d<=-3.61 & weekly_range_pct>5.29 | hit_10pc_20d:atr_20_pct>3.63 & dist_high_120<=-27.42 & dist_sma_50<=-1.72 & vol_5d_vs_20d>0.82 | hit_15pc_20d:dist_high_252<=-32.38 & dist_high_60<=-19.39 & n_sub_3_range_7d<=3.5 & rs_sector_60d<=1.7 | hit_15pc_20d:atr_20_pct>3.63 & dist_high_252<=-24.73 & slope_sma_50<=-0.07 & weekly_close_vs_sma20<=13.81 | hit_15pc_20d:atr_20_pct>3.27 & roc_20<=-13.62 & vol_5d_vs_20d>0.64 & weekly_close_vs_sma20<=3.41
BSE [GOLD-baseline] nf=51 down_streak=1 vol=0.9x sret=-2.7% rsi=62 distSMA200=+54% distHigh60=-4% atr=4.0% | close10d[2102,2151,2082,2218,2230,2190,2318,2438,2449,2382] vol5d[1.0x,1.1x,1.5x,0.8x,0.9x] | patterns: hit_15pc_20d:atr_20_pct>3.2 & dist_sma_200>47.16 & slope_sma_20>1.27 & weekly_close_loc>0.42 | hit_10pc_20d:dist_high_10<=-2.52 & dist_high_252>-15.6 & weekly_close_loc>0.5 & weekly_range_pct>7.5 | hit_15pc_20d:dist_sma_200>53.44 & n_sub_3_range_7d<=3.5 & rs_sector_20d<=18.08 & rs_sector_60d>1.7 | hit_10pc_20d:atr_20_pct>2.35 & roc_20>3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_10pc_20d:atr_20_pct>3.88 & weekly_close_vs_sma20<=33.91 & weekly_close_vs_sma20>20.64
BLUEDART [ENTERPRISE-Dryup] nf=13 down_streak=0 vol=0.7x sret=+0.0% rsi=64 distSMA200=-4% distHigh60=-1% atr=3.0% | close10d[6260,6477,6628,6656,6702,6683,6704,6914,6898,6900] vol5d[0.8x,0.8x,1.1x,0.8x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:n_sub_3_range_7d<=3.5 & n_sub_75v_20d<=13.5 & slope_sma_50<=1.67 & weekly_close_loc>0.59 | hit_10pc_20d:atr_20_pct>2.55 & slope_sma_50<=1.01 & weekly_close_loc>0.43 & weekly_close_vs_sma20>8.43 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71 | hit_15pc_20d:atr_20_pct>2.86 & rs_sector_60d<=31.83 & weekly_close_loc>0.7 & weekly_close_vs_sma20>3.06
AMBER [ENTERPRISE-Dryup] nf=44 down_streak=0 vol=0.4x sret=+0.7% rsi=49 distSMA200=+8% distHigh60=-14% atr=3.8% | close10d[6188,6098,5856,5982,6032,5795,6237,6214,6302,6346] vol5d[0.9x,1.0x,0.6x,0.6x,0.4x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>3.78 & weekly_close_loc>0.63 & weekly_close_vs_sma20<=9.42 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_15pc_20d:atr_20_pct>2.98 & n_sub_3_range_7d<=3.5 & weekly_close_loc>0.73 & weekly_close_vs_sma20<=-3.68
CCL [ENTERPRISE-Dryup] nf=36 down_streak=1 vol=0.1x sret=-0.5% rsi=64 distSMA200=+8% distHigh60=-10% atr=4.6% | close10d[600,593,694,773,728,723,728,720,729,725] vol5d[0.6x,0.2x,0.2x,0.2x,0.1x] | patterns: hit_10pc_20d:atr_20_pct>3.61 & dist_high_60<=-4.81 & weekly_close_loc>0.25 & weekly_close_vs_sma20>-0.6 | hit_10pc_20d:atr_20_pct>4.48 & rs_market_60d<=49.51 & rs_sector_60d>-3.61 & weekly_range_pct>5.29 | hit_10pc_20d:atr_20_pct>3.88 & weekly_close_vs_sma20<=20.64 & weekly_close_vs_sma20>13.7 | hit_15pc_20d:atr_20_pct>3.63 & dist_high_252<=-6.67 & slope_sma_20>2.18 & weekly_close_vs_sma20>13.81 | hit_25pc_30d:atr_20_pct>4.36 & rs_market_20d>7.24 & rs_sector_20d<=26.48
CEATLTD [ENTERPRISE-Dryup] nf=65 down_streak=0 vol=0.4x sret=+0.5% rsi=92 distSMA200=+34% distHigh60=-1% atr=3.6% | close10d[3376,3431,3576,3631,3674,3766,3750,3770,3896,3917] vol5d[0.7x,0.7x,0.4x,1.1x,0.4x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_15pc_20d:n_sub_3_range_7d<=2.5 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.15 & rs_sector_60d>13.71 & weekly_close_loc>0.83 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15
BALRAMCHIN [GOLD] nf=40 down_streak=0 vol=1.6x sret=+0.4% rsi=37 distSMA200=+3% distHigh60=-7% atr=3.8% | close10d[548,552,554,559,540,525,558,554,559,561] vol5d[1.5x,0.6x,0.4x,1.5x,1.6x] | patterns: hit_10pc_20d:n_sub_3_range_7d<=3.5 & n_sub_75v_20d<=13.5 & slope_sma_50<=1.67 & weekly_close_loc>0.59 | hit_10pc_20d:atr_20_pct>3.61 & dist_high_60<=-4.81 & weekly_close_loc>0.25 & weekly_close_vs_sma20>-0.6 | hit_10pc_20d:dist_high_20<=-3.93 & weekly_close_loc>0.59 & weekly_range_pct<=9.47 & weekly_range_pct>5.47 | hit_10pc_20d:rs_market_60d<=81.89 & weekly_close_loc>0.37 & weekly_close_vs_sma20>9.42 & weekly_range_pct>4.76 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44
CGCL [ENTERPRISE-Dryup] nf=25 down_streak=1 vol=0.3x sret=-0.9% rsi=52 distSMA200=-11% distHigh60=-28% atr=3.7% | close10d[163,169,166,163,160,163,167,168,169,167] vol5d[0.6x,0.3x,0.3x,0.4x,0.3x] | patterns: hit_15pc_20d:atr_20_pct>3.63 & dist_high_252<=-24.73 & slope_sma_50<=-0.07 & weekly_close_vs_sma20<=13.81 | hit_25pc_30d:dist_high_60<=-21.6 & weekly_close_vs_sma20>-7.08 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_15pc_20d:atr_20_pct>2.82 & dist_high_252<=-29.58 & dist_high_60<=-25.03 & weekly_close_loc<=0.44 | hit_25pc_30d:atr_20_pct>3.52 & dist_high_120<=-26.56 & dist_sma_200<=15.01
