ABB [GOLD] nf=64 down_streak=1 vol=0.9x sret=-0.3% rsi=62 distSMA200=-25% distHigh60=-22% atr=3.5% | close10d[5370,5327,5160,5129,5140,5119,5188,5411,5476,5461] vol5d[0.5x,0.4x,0.7x,0.8x,0.9x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_15pc_20d:atr_20_pct>2.98 & n_sub_3_range_7d<=3.5 & weekly_close_loc>0.73 & weekly_close_vs_sma20<=-3.68
POWERGRID [ENTERPRISE-Dryup] nf=16 down_streak=0 vol=1.0x sret=+1.1% rsi=74 distSMA200=-10% distHigh60=-11% atr=2.4% | close10d[258,255,263,259,259,259,259,259,268,271] vol5d[0.6x,0.8x,0.0x,0.9x,1.0x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20<=5.52 & weekly_range_pct>6.07 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20>0.21 & weekly_close_loc>0.8 | hit_25pc_30d:dist_sma_200<=-9.44 & n_sub_75v_7d>2.5 & weekly_close_loc>0.46 & weekly_range_pct>5.39
TORNTPOWER [ENTERPRISE-Dryup] nf=86 down_streak=0 vol=1.2x sret=+2.0% rsi=71 distSMA200=-7% distHigh60=-4% atr=3.5% | close10d[1309,1314,1331,1316,1298,1273,1293,1293,1421,1448] vol5d[0.4x,0.8x,0.0x,1.1x,1.2x] | patterns: hit_10pc_20d:atr_5_vs_20<=1.2 & slope_sma_50<=0.77 & weekly_close_loc>0.62 & weekly_range_pct>11.78 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:atr_20_pct>3.43 & roc_5>5.1 & weekly_close_loc>0.67 & weekly_range_pct>11.61 | hit_10pc_20d:atr_20_pct>3.35 & close_loc>0.39 & weekly_close_loc>0.64 & weekly_range_pct>8.51
TRENT [ENTERPRISE-Dryup] nf=38 down_streak=1 vol=0.7x sret=-0.2% rsi=70 distSMA200=-17% distHigh60=-30% atr=3.4% | close10d[5065,4996,4796,4991,5011,5018,5155,5155,5226,5217] vol5d[0.8x,0.8x,0.0x,0.9x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d<=-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71 | hit_10pc_20d:dist_high_252<=-33.68 & dist_sma_200<=2.78 & slope_sma_50<=-1.97 | hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87 | hit_15pc_20d:atr_20_pct>2.67 & dist_sma_50>-9.62 & roc_60<=-15.42 & weekly_close_loc>0.71
TVSMOTOR [ENTERPRISE-Dryup] nf=17 down_streak=0 vol=0.9x sret=+1.2% rsi=51 distSMA200=-6% distHigh60=-14% atr=3.1% | close10d[2302,2315,2240,2271,2242,2234,2250,2250,2302,2329] vol5d[0.6x,0.8x,0.0x,0.9x,0.9x] | patterns: hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20<=0.21 & weekly_close_loc>0.8
UPL [ENTERPRISE-Dryup] nf=32 down_streak=0 vol=0.7x sret=+0.1% rsi=51 distSMA200=+14% distHigh60=-2% atr=2.7% | close10d[619,624,610,609,603,596,620,620,640,641] vol5d[0.7x,1.1x,0.0x,0.8x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>2.35 & roc_20<=3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_10pc_20d:atr_20_pct>2.15 & rs_sector_60d>13.71 & weekly_close_loc>0.83 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20>5.52 & weekly_range_pct>6.07 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7
PNB [ENTERPRISE-Dryup] nf=20 down_streak=0 vol=0.8x sret=+0.3% rsi=48 distSMA200=-15% distHigh60=-15% atr=2.8% | close10d[88,89,86,86,84,85,85,86,88,89] vol5d[0.7x,0.8x,0.8x,1.0x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20<=5.52 & weekly_range_pct>6.07 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71
INDUSINDBK [ENTERPRISE-Dryup] nf=84 down_streak=1 vol=0.4x sret=-1.2% rsi=11 distSMA200=-43% distHigh60=-37% atr=6.6% | close10d[972,937,900,656,685,672,677,677,693,684] vol5d[1.7x,1.1x,0.0x,0.6x,0.4x] | patterns: hit_10pc_20d:dist_high_120<=-38.87 & dist_sma_50<=-12.07 & rs_market_60d<=-14.48 | hit_10pc_20d:dist_high_252<=-41.99 & dist_high_60<=-24.97 & weekly_close_loc>0.15 & weekly_close_vs_sma20<=2.23 | hit_10pc_20d:atr_20_pct>3.63 & dist_high_120<=-27.42 & dist_sma_50<=-1.72 & vol_5d_vs_20d>0.82 | hit_15pc_20d:atr_20_pct>3.6 & dist_high_252<=-35.35 & rs_market_20d<=1.36 & weekly_close_vs_sma20<=9.42 | hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44
VOLTAS [ENTERPRISE-Dryup] nf=27 down_streak=1 vol=0.8x sret=-1.7% rsi=72 distSMA200=-8% distHigh60=-21% atr=3.2% | close10d[1398,1398,1390,1398,1437,1395,1450,1450,1487,1462] vol5d[0.6x,0.9x,0.0x,1.2x,0.8x] | patterns: hit_10pc_20d:dist_high_10<=-2.52 & dist_high_252<=-15.6 & weekly_close_loc>0.5 & weekly_range_pct>7.5 | hit_10pc_20d:dist_high_10<=-3.88 & roc_60<=12.78 & weekly_close_loc>0.41 & weekly_range_pct>7.9 | hit_10pc_20d:roc_5<=2.59 & weekly_close_loc>0.48 & weekly_range_pct<=16.49 & weekly_range_pct>6.77 | hit_10pc_20d:atr_20_pct>2.35 & roc_20>3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc<=0.68 & weekly_close_loc>0.5 & weekly_range_pct>8.52
TORNTPHARM [ENTERPRISE-Dryup] nf=13 down_streak=0 vol=0.5x sret=+1.2% rsi=75 distSMA200=+1% distHigh60=-6% atr=2.4% | close10d[3032,3047,3044,3031,3070,3029,3040,3040,3164,3203] vol5d[0.5x,0.6x,0.0x,1.0x,0.5x] | patterns: hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20<=5.52 & weekly_range_pct>6.07 | hit_15pc_20d:roc_60>-5.88 & rs_sector_20d>-2.8 & weekly_close_loc>0.73 & weekly_range_pct>6.25 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20>0.21 & weekly_close_loc>0.8 | hit_10pc_20d:dist_high_252>-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8
ZOMATO [GOLD] nf=85 down_streak=0 vol=1.1x sret=+0.4% rsi=46 distSMA200=-8% distHigh60=-23% atr=4.2% | close10d[225,217,211,208,205,201,204,218,224,224] vol5d[1.2x,1.0x,1.5x,1.2x,1.1x] | patterns: hit_10pc_20d:atr_5_vs_20<=1.2 & slope_sma_50<=0.77 & weekly_close_loc>0.62 & weekly_range_pct>11.78 | hit_10pc_20d:atr_20_pct>3.72 & roc_60<=-14.78 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:dist_high_10<=-2.52 & dist_high_252<=-15.6 & weekly_close_loc>0.5 & weekly_range_pct>7.5
BANDHANBNK [ENTERPRISE-Dryup] nf=39 down_streak=0 vol=0.5x sret=+0.2% rsi=57 distSMA200=-20% distHigh60=-15% atr=3.6% | close10d[148,149,147,139,140,139,137,137,140,140] vol5d[0.4x,0.6x,0.0x,0.9x,0.5x] | patterns: hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_15pc_20d:atr_20_pct>3.51 & dist_high_60<=-6.85 & weekly_close_loc>0.61 & weekly_range_pct<=10.93
BANKBARODA [ENTERPRISE-Dryup] nf=15 down_streak=0 vol=1.0x sret=+0.9% rsi=67 distSMA200=-11% distHigh60=-13% atr=2.4% | close10d[200,199,197,196,196,199,199,199,207,208] vol5d[1.0x,0.7x,0.0x,1.0x,1.0x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20<=5.52 & weekly_range_pct>6.07 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20<=0.21 & weekly_close_loc>0.8 | hit_10pc_20d:dist_high_252>-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8
WIPRO [GOLD-baseline] nf=10 down_streak=0 vol=1.6x sret=+0.9% rsi=30 distSMA200=-2% distHigh60=-17% atr=3.0% | close10d[273,272,269,266,257,252,248,248,254,256] vol5d[0.8x,1.2x,0.0x,1.3x,1.6x] | patterns: hit_10pc_20d:dist_high_20<=-3.93 & weekly_close_loc>0.59 & weekly_range_pct<=9.47 & weekly_range_pct>5.47 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_25pc_30d:atr_20_pct>2.53 & slope_sma_20<=-1.63 & weekly_close_loc>0.57 & weekly_range_pct>5.55 | hit_15pc_20d:atr_20_pct>2.45 & dist_high_20<=-2.03 & weekly_close_loc>0.17 & weekly_range_pct>5.02 | hit_10pc_20d:dist_high_60<=-3.65 & n_sub_75v_20d<=9.5 & slope_sma_50<=-0.66 & weekly_range_pct>3.68
DIVISLAB [ENTERPRISE-Dryup] nf=10 down_streak=0 vol=0.8x sret=+0.1% rsi=64 distSMA200=+7% distHigh60=-7% atr=2.5% | close10d[5543,5553,5489,5521,5641,5595,5645,5645,5792,5796] vol5d[0.6x,0.4x,0.0x,0.8x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20<=0.21 & weekly_close_loc>0.8 | hit_10pc_20d:dist_high_252>-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8 | hit_10pc_20d:dist_high_120<=-6.42 & dist_sma_200>-7.87 & rs_market_60d>-3.84 & weekly_close_loc>0.49 | hit_10pc_20d:atr_20_pct<=3.19 & rs_sector_20d<=1.14 & weekly_close_loc>0.69 & weekly_range_pct>4.29
ABREL [GOLD] nf=110 down_streak=0 vol=0.8x sret=+0.8% rsi=58 distSMA200=-19% distHigh60=-24% atr=5.9% | close10d[1959,1973,1909,1894,1806,1775,1760,1867,1922,1937] vol5d[0.8x,0.6x,2.3x,0.9x,0.8x] | patterns: hit_10pc_20d:rs_sector_20d<=-6.57 & weekly_close_loc>0.55 & weekly_range_pct>9.62 | hit_10pc_20d:atr_20_pct>3.59 & dist_high_60<=-22.1 & slope_sma_20<=-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>3.72 & roc_60<=-14.78 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0
PVRINOX [GOLD] nf=117 down_streak=1 vol=0.6x sret=-1.8% rsi=58 distSMA200=-30% distHigh60=-30% atr=4.5% | close10d[981,963,941,940,917,900,901,962,978,960] vol5d[0.7x,0.8x,1.9x,0.8x,0.6x] | patterns: hit_10pc_20d:atr_5_vs_20<=1.2 & slope_sma_50<=0.77 & weekly_close_loc>0.62 & weekly_range_pct>11.78 | hit_10pc_20d:atr_20_pct>3.12 & roc_5<=5.48 & weekly_close_loc>0.53 & weekly_range_pct>10.47 | hit_10pc_20d:rs_sector_20d<=-6.57 & weekly_close_loc>0.55 & weekly_range_pct>9.62 | hit_15pc_20d:atr_20_pct>3.43 & roc_5<=7.12 & weekly_close_loc>0.61 & weekly_range_pct>11.72 | hit_10pc_20d:atr_20_pct>3.35 & close_loc<=0.39 & weekly_close_loc>0.64 & weekly_range_pct>8.51
ABSLAMC [GOLD] nf=84 down_streak=0 vol=0.7x sret=+0.9% rsi=53 distSMA200=-11% distHigh60=-26% atr=3.8% | close10d[617,620,592,593,607,591,593,595,633,639] vol5d[0.7x,0.8x,1.6x,1.6x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>3.59 & dist_high_60<=-22.1 & slope_sma_20<=-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>3.72 & roc_60<=-14.78 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:atr_20_pct>3.35 & close_loc>0.39 & weekly_close_loc>0.64 & weekly_range_pct>8.51
ACE [ENTERPRISE-Dryup] nf=63 down_streak=0 vol=0.5x sret=+0.9% rsi=67 distSMA200=-8% distHigh60=-24% atr=5.1% | close10d[1104,1136,1134,1169,1169,1151,1155,1193,1213,1224] vol5d[0.4x,0.4x,0.5x,0.5x,0.5x] | patterns: hit_10pc_20d:atr_20_pct>3.72 & roc_60<=-14.78 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>3.78 & weekly_close_loc>0.63 & weekly_close_vs_sma20<=9.42
ACUTAAS [GOLD-baseline] nf=96 down_streak=0 vol=0.9x sret=+0.8% rsi=59 distSMA200=+33% distHigh60=-10% atr=5.3% | close10d[1231,1229,1156,1132,1089,1091,1099,1129,1180,1189] vol5d[0.7x,0.7x,1.1x,1.4x,0.9x] | patterns: hit_10pc_20d:roc_60<=31.97 & weekly_close_loc>0.59 & weekly_close_vs_sma20>8.87 & weekly_range_pct>9.47 | hit_10pc_20d:rs_sector_20d>-6.57 & weekly_close_loc>0.55 & weekly_close_vs_sma20>9.15 & weekly_range_pct>9.62 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_15pc_20d:atr_20_pct>4.4 & rs_sector_60d<=27.53 & weekly_close_loc>0.46 & weekly_range_pct>9.47
ADANIGREEN [ENTERPRISE-Dryup] nf=74 down_streak=0 vol=0.4x sret=+1.3% rsi=68 distSMA200=-37% distHigh60=-18% atr=4.3% | close10d[846,837,826,824,853,874,896,901,911,923] vol5d[1.5x,0.7x,0.5x,0.4x,0.4x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>3.78 & weekly_close_loc>0.63 & weekly_close_vs_sma20<=9.42 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48
ADANIENSOL [ENTERPRISE-Dryup] nf=46 down_streak=0 vol=0.6x sret=+0.1% rsi=90 distSMA200=-10% distHigh60=-2% atr=3.6% | close10d[733,748,759,761,782,783,795,799,814,815] vol5d[0.9x,0.7x,0.5x,0.6x,0.6x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06
ADANIPOWER [ENTERPRISE-Dryup] nf=20 down_streak=1 vol=0.4x sret=-0.2% rsi=66 distSMA200=-14% distHigh60=-13% atr=3.5% | close10d[101,101,101,102,102,102,102,103,104,104] vol5d[0.9x,0.5x,0.5x,0.6x,0.4x] | patterns: hit_25pc_30d:atr_20_pct>3.27 & dist_high_252<=-39.08 & weekly_close_vs_sma20<=21.67 | hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_25pc_30d:atr_20_pct>3.48 & dist_high_252<=-41.21 & weekly_close_loc>0.53 & weekly_range_pct<=11.96 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_15pc_20d:atr_20_pct>3.2 & dist_sma_200<=19.12 & weekly_close_loc>0.42
INDHOTEL [ENTERPRISE-Dryup] nf=56 down_streak=0 vol=0.8x sret=+0.7% rsi=79 distSMA200=+15% distHigh60=-9% atr=2.9% | close10d[747,742,739,747,747,748,751,751,808,814] vol5d[0.9x,0.9x,0.0x,1.9x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:atr_20_pct>2.56 & roc_20<=29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89 | hit_10pc_20d:atr_20_pct<=4.4 & weekly_close_loc>0.81 & weekly_close_vs_sma20>2.23 & weekly_range_pct>8.5 | hit_10pc_20d:roc_60<=31.97 & weekly_close_loc>0.59 & weekly_close_vs_sma20<=8.87 & weekly_range_pct>9.47
360ONE [GOLD] nf=98 down_streak=0 vol=0.4x sret=+0.3% rsi=35 distSMA200=-11% distHigh60=-30% atr=4.9% | close10d[966,973,895,865,846,865,855,915,924,927] vol5d[1.3x,0.4x,1.7x,2.1x,0.4x] | patterns: hit_10pc_20d:atr_20_pct>3.72 & roc_60<=-14.78 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d<=-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_15pc_20d:atr_20_pct>4.4 & rs_sector_60d<=27.53 & weekly_close_loc>0.46 & weekly_range_pct>9.47
AJANTPHARM [ENTERPRISE-Dryup] nf=51 down_streak=0 vol=0.4x sret=+0.1% rsi=54 distSMA200=-7% distHigh60=-16% atr=4.5% | close10d[2569,2563,2522,2508,2545,2538,2577,2602,2622,2626] vol5d[0.4x,0.4x,0.6x,0.4x,0.4x] | patterns: hit_10pc_20d:atr_20_pct>3.43 & close_loc<=0.44 & weekly_close_loc>0.67 & weekly_range_pct<=11.61 | hit_10pc_20d:atr_20_pct>3.78 & weekly_close_loc>0.63 & weekly_close_vs_sma20<=9.42 | hit_15pc_20d:atr_20_pct>3.6 & dist_sma_50<=-1.76 & rs_market_20d>-9.09 & weekly_close_loc>0.68 | hit_15pc_20d:atr_20_pct>3.42 & weekly_close_loc>0.66 | hit_15pc_20d:atr_20_pct>3.04 & vol_5d_vs_20d<=1.58 & weekly_close_loc>0.69 & weekly_range_pct>5.68
3MINDIA [GOLD] nf=14 down_streak=1 vol=1.3x sret=-1.3% rsi=64 distSMA200=-16% distHigh60=-12% atr=3.2% | close10d[27905,27723,27468,27948,27950,27880,27288,27564,28344,27972] vol5d[0.5x,0.6x,0.8x,1.2x,1.3x] | patterns: hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>3.02 & dist_high_120<=-18.07 & weekly_close_loc>0.43 & weekly_range_pct<=8.64 | hit_25pc_30d:dist_high_252<=-24.86 & n_sub_2_5_range_7d<=2.5 & rs_market_60d<=-5.43 & weekly_close_vs_sma20<=13.27 | hit_10pc_20d:atr_20_pct>3.13 & rs_sector_60d>-21.46 & weekly_close_loc<=0.7 & weekly_close_loc>0.35
AFFLE [ENTERPRISE-Dryup] nf=56 down_streak=0 vol=0.7x sret=+1.9% rsi=57 distSMA200=-2% distHigh60=-17% atr=4.2% | close10d[1436,1483,1429,1452,1447,1431,1425,1440,1481,1509] vol5d[2.3x,0.4x,0.9x,1.0x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>3.72 & roc_60<=-14.78 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>2.35 & roc_20<=3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71
ANANTRAJ [ENTERPRISE-Dryup] nf=107 down_streak=1 vol=0.7x sret=-0.6% rsi=60 distSMA200=-17% distHigh60=-45% atr=5.9% | close10d[464,501,486,513,497,491,491,510,524,521] vol5d[0.5x,0.4x,0.8x,0.9x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>3.35 & close_loc<=0.39 & weekly_close_loc>0.64 & weekly_range_pct>8.51 | hit_10pc_20d:atr_20_pct>3.59 & dist_high_60<=-22.1 & slope_sma_20<=-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>3.72 & roc_60<=-14.78 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d<=-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52
APLAPOLLO [GOLD] nf=68 down_streak=0 vol=0.7x sret=+1.2% rsi=61 distSMA200=+1% distHigh60=-8% atr=3.8% | close10d[1463,1458,1435,1449,1403,1373,1411,1433,1493,1510] vol5d[1.2x,0.9x,1.2x,1.3x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:atr_20_pct>3.35 & close_loc>0.39 & weekly_close_loc>0.64 & weekly_range_pct>8.51 | hit_10pc_20d:atr_20_pct>2.56 & roc_20<=29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89 | hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15
ANURAS [ENTERPRISE-Dryup] nf=30 down_streak=2 vol=0.2x sret=-0.6% rsi=82 distSMA200=+5% distHigh60=-4% atr=4.5% | close10d[764,781,788,790,785,788,767,789,780,775] vol5d[0.5x,2.2x,1.5x,0.5x,0.2x] | patterns: hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_10pc_20d:atr_20_pct>4.28 & weekly_close_loc<=0.67 & weekly_close_loc>0.35 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_15pc_20d:atr_20_pct>3.2 & dist_sma_200<=19.12 & weekly_close_loc>0.42 | hit_15pc_20d:atr_20_pct>4.4 & rs_sector_60d<=27.53 & weekly_close_loc>0.46 & weekly_range_pct<=9.47
